Time	Agent	D1	SSCMax_D1	D2	SSCMax_D2	D3	SSCMax_D3	D4	SSCMax_D4
100.060000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.065000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.070000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.075000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.080000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.085000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.090000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.095000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.100000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.105000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.110000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.115000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.120000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.125000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.130000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.135000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.140000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.145000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.150000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.155000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.160000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.165000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.170000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.175000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.180000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.185000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.190000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.195000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.200000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.205000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.210000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.215000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.220000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.225000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.230000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.235000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.240000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.245000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.250000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.255000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.260000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.265000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.270000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.275000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.280000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.285000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.290000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.295000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.300000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.305000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.310000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.315000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.320000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.325000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.330000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.335000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.340000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.345000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.350000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.355000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.360000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.365000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.370000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.375000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.380000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.385000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
